+1  1:160 2:926 3:888
+1  1:165 2:927 3:890
+1  1:170 2:923 3:887
+1  1:175 2:919 3:884
+1  1:180 2:918 3:884
+1  1:185 2:920 3:886
+1  1:190 2:921 3:885
+1  1:195 2:919 3:885
+1  1:200 2:920 3:887
+1  1:205 2:921 3:888
+1  1:210 2:921 3:888
+1  1:215 2:923 3:890
+1  1:220 2:920 3:888
+1  1:225 2:922 3:889
+1  1:230 2:920 3:888
+1  1:235 2:919 3:886
+1  1:240 2:918 3:887
+1  1:245 2:915 3:883
+1  1:250 2:917 3:885
+1  1:255 2:921 3:889
+1  1:260 2:919 3:887
+1  1:265 2:919 3:887
+1  1:270 2:921 3:891
+1  1:275 2:919 3:888
+1  1:280 2:918 3:888
+1  1:285 2:914 3:883
+1  1:290 2:916 3:885
+1  1:295 2:914 3:884
+1  1:300 2:916 3:889
+1  1:305 2:918 3:889
